ID,Sender,Reciever,From,To,Keywords ,Date
341,King William ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","elections, Presbyterian ministers, Churc, supply, forces, rebels, burghs, oath de fideli, allegiance","February 25, 1690"
342,Burrough of Belfast ,Colonel Hill ,"54.607868, -5.926437","53.33306, -6.24889","belfast, colonel hill, irish, king william, queen","February 28, 1690"
343,King William ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","secret council, security, government, mackay, forces","February 28, 1690"
344,King William ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","parliament, security, mackay, grievances, intelligence, presbyterians",February 1690
345,Lord Melville ,King William ,"55.948889, -3.190556","51.504997, -0.187752","Hamilton, King's service, council, parliament, Breadalbane, Berwick, Carlisle, borders","March 18, 1690"
346,King William ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","service, commissioner, parliament, Scotland","March 20, 1690"
347,King William ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","Breadalbane, rebels, parliament, Scotland, frigates","March 20, 1690"
348,King William ,The Privy Council ,"51.504997, -0.187752","55.948889, -3.190556","council, kingdom, deserters, garrisons","March 20, 1690"
349,King William ,Viscount Tarbat ,"51.504444, -0.125556","55.948889, -3.190556","highlanders, Scotland, duty, entreat","March 25, 1690"
350,King William ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","parliament, instructions","April 9, 1690"
351,Earl of Portland ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","letters, parliament, Carstares, information","April 11, 1690"
352,Marshal Schonberg ,Earl of Leven ,"54.52337, -6.03527","55.948889, -3.190556","Captain Kennedy, Melville, Scotland","April 12, 1690"
353,King William ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","imprisoned, apprehend, disaffected","April 15, 1690"
354,Colonel Hill ,Earl of Leven ,"53.33306, -6.24889","55.948889, -3.190556","highlands, King, Mackay, Ireland, french ships, K. James, French, highlanders, coast, supply","April 17, 1690"
355,Earl of Ranelagh ,Lord Melville ,"51.50673486004276, -0.12083646321188168","55.952499, -3.172500","service, regiment, Ireland, scots guards","April 19, 1690"
356,Earl of Portland ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","parliament, Scotland, Carstares, presbyterian religion, Club, Ireland, mackay, France, letters","April 22, 1690"
357,Lord Melville ,Earl of Breadalbane,"55.952499, -3.172500","56.34, -4.274","Breadalbane, highlanders, submission, security","April 24, 1690"
358,Sir William Lockhart ,Master of Melville ,"51.504444, -0.125556","55.948889, -3.190556","presbytery, King, parliament, whig, tory, scrizimor","April 29, 1690"
359,King William ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","committees, elections, parliament",April 1690
360,King William ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","Crawford, security, religion, knighthood",April 1690
361,Mr. David Nairne ,Earl of Leven ,"55.948889, -3.190556","55.948889, -3.190556","Drumlanrig, public affairs, King, treasurer depute, Raith","May 1, 1690"
362,King William ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","Breadalbane, Melville, Pottinger, ships, forces","May 2, 1690"
363,King William ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","officers, soldiers, government, army","May 7, 1690"
364,King William ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","service, crimes, treason, Prince, remission","May 14, 1690"
365,Earl of Portland ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","King, Carstares, English, presbyterians, Inverlochy, Mackay, letters","May 15, 1690"
366,King William ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","church government, presbytery, popery, church of scotland, reformation, protestant religion","May 22, 1690"
367,King William ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500","public oath, fines, capital crimes, civil debt, relief, Edinburgh, Kirks, stipends, trade, university","May 30, 1690"
368,King William ,Lord Melville ,"51.504997, -0.187752","55.952499, -3.172500",indemnity,"June 3, 1690"
369,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","55.952499, -3.172500",Raith,"June 3, 1690"
370,The Privy Council ,King William ,"55.948889, -3.190556","51.504997, -0.187752","Holyrood House, Haddington, rent","June 5, 1690"
371,King William ,Lord Melville ,"53.39046, -3.18066","55.952499, -3.172500","Mackay, correspondence, military affairs, Lockhart, Scotland, Ireland, Carstares","June 9, 1690"
372,Earl of Portland ,Lord Melville ,"53.39046, -3.18066","55.952499, -3.172500","Carstares, Inverlochy, Mackay, borders, friendship, security","June 9, 1690"
373,Earl of Nottingham ,Lord Melville ,"51.504444, -0.125556","55.952499, -3.172500","highlake, Ireland, Scotland, Queen","June 13, 1690"
374,Mr. David Nairne ,Lord Melville ,"55.948889, -3.190556","55.952499, -3.172500","Ferguson, imprisonment, Leven, Gibson","June 14, 1690"
375,Mr. David Nairne ,Earl of Leven ,"55.948889, -3.190556","55.948889, -3.190556","Drumlanrig, Abbey, Raith, gazettes","June 19, 1690"
376,Marquis of Atholl ,Major-General Mackay ,"56.37268, -3.83891","55.948889, -3.190556","enemies, health, kingdom","June 19, 1690"
377,Marquis of Atholl ,Lord Melville ,"56.37268, -3.83891","55.948889, -3.190556","health, King, government","June 19, 1690"
378,Earl of Nottingham ,Lord Melville ,"51.504444, -0.125556","55.952499, -3.172500","Lockhart, Scotland, Cochran, Ferguson, discharged","June 21, 1690"
379,Lord Ross,Mr. George Stirling ,"54.95, -4.95","55.948889, -3.190556","enemies, prisoner, health, kindness","June 23, 1690"
380,Lord Ross,Lord Melville ,"54.95, -4.95","55.948889, -3.190556","Edinburgh, plots, parliament, imprisoned, England","June 23, 1690"
381,Lord Melville ,Queen Mary ,"55.948889, -3.190556","51.504444, -0.125556","plot, protestant religion, information, enemies","June 23, 1690"
382,Mr. William Carstares ,-,"55.948889, -3.190556",,"court, service, conspiracy, church government","June 23, 1690"
383,Lord Melville ,Queen Mary ,"55.948889, -3.190556","51.504444, -0.125556","Ireland, Lockhart, Ross, service, Monsier D'Allone","June 24, 1690"
384,Earl of Nottingham ,Lord Melville ,"51.504444, -0.125556","55.952499, -3.172500","French fleet, coast, Torrington, disaffected, Scotland, Ireland, information, Ferguson, Cochran, Mr. Cone, treason","June 26, 1690"
385,Colonel Billingsley ,Lord Melville ,55.78333 -2.0,"55.952499, -3.172500","news, Ross, Hume, battalion, disaffected","June 27, 1690"
386,Master of Forbes ,Lord Melville ,"57.149651, -2.099075","55.952499, -3.172500","parliament, presbytery, Inverlochy, garrisons, security, highlands, prisoners","June 27, 1690"
387,Queen Mary ,-,"51.504444, -0.125556",,"K. James, France, Scotland, Skelmorlie, Edinburgh, presbyterians, cavaliers, popish, Carstares, French",June 1690
388,Lord Melville ,Queen Mary ,"55.948889, -3.190556","51.504444, -0.125556","plot, legal evidence, Lockhart, Ireland, King, service",June 1690
389,Lord Melville ,Queen Mary ,"55.948889, -3.190556","51.504444, -0.125556","plot, protestant religion, information, enemies",June 1690
390,Lord Melville ,Queen Mary ,"55.948889, -3.190556","51.504444, -0.125556","Lockhart, Ross, french fleet, enemies, intelligence, Skelmorlie, evidence, England, correspondence","July 2, 1690"
391,Sir William Lockhart ,Lord Melville ,"51.504444, -0.125556","55.952499, -3.172500","fleet, battles, Flanders, French, Waldeck, quiet, London, Westminster, Ireland","July 3, 1690"
392,Colonel Billingsley ,Lord Melville ,"55.78333, -2.0","55.952499, -3.172500","mail, moncreiff, service","July 3, 1690"
393,Queen Mary ,Lord Melville ,"51.504444, -0.125556","55.952499, -3.172500","Lockhart, dangers, King","July 3, 1690"
394,Earl of Portland ,Lord Melville ,"52.91044, -6.11488","55.952499, -3.172500","King, wounded, battle, Protestant, Dublin, K. James, Drogheda, Carstares, Dutch, Danes, Boyne","July 4, 1690"
395,Earl of Nottingham ,Lord Melville ,"51.504444, -0.125556","55.952499, -3.172500","french fleet, channel, mail","July 5, 1690"
396,Lord Melville ,King William ,"55.948889, -3.190556","52.91044, -6.11488","rebels, mackay, Inverlochy, Lochiel, coast, capers, French, Breadalbane, borders, Ireland, government, service, news","July 6, 1690"
397,Mr. William Carstares ,Monsieur D'Allone ?,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Ross, parliament, Mackay, highlands, borders, Torrington, Ireland, Boyne, K. James, Schomberg, Lockhart","July 9, 1690"
398,Lord Melville ,Monsieur D'Allone ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Lockhart, Nottingham, intelligence, Queen, King, highlands, Jacobites, arms, service, England","July 10, 1690"
399,Colonel Hill ,Lord Melville ,"56.8262150285, -5.07526803226","55.952499, -3.172500","Raith, provisions, garrison, army, weather, soldiers, highlands","July 10, 1690"
400,Earl of Nottingham ,Lord Melville ,"51.504444, -0.125556","55.952499, -3.172500","borders, maxwell, Scotland","July 12, 1690"
401,Mr. William Carstares ,Monsieur D'Allone ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","highlanders, Canon, Stirling, Arran, Hume, Lockhart, Ross, Queen","July 13, 1690"
403,Earl of Nottingham ,Lord Melville ,"51.504444, -0.125556","55.952499, -3.172500","disaffected, borders, Scotland, Berwick, Carlisle","July 15, 1690"
403,Captain Pottinger ,Lord Melville ,"50.3522, -3.5794","55.952499, -3.172500","Greenock, Ferguson, Mackay, blockade, coast, isles, Seaforth, frigates, highlanders, Inverlochy, coasts","July 19, 1690"
404,Colonel Billingsley ,Lord Melville ,"55.78333, -2.0","55.952499, -3.172500","flying packets, black boxes, service, orders, Home, borders, militia, Scotland","July 19, 1690"
405,Captain Pottinger ,Major-General Mackay ,"50.3522, -3.5794",,"Hill, Dunstaffnage, seamen, Greenock, Douglas, frigate","July 21, 1690"
406,Colonel Billingsley ,Lord Melville ,"55.78333, -2.0","55.952499, -3.172500","express, mistake, postmaster, delay","July 21, 1690"
407,Earl of Portland ,Lord Melville ,"50.264, -5.054","55.948889, -3.190556","defense, invasion, enemies, Dublin, Scotland, Mackay, Inverlochy, garrisons, Waterford, Ireland, Limerick, England","July 23, 1690"
408,Lord Melville ,Queen Mary ,"55.948889, -3.190556","51.504444, -0.125556","expresses, Lockhart, Berwick, London, Highlanders, mail, Ross, Skelmorlie, plot","July 24, 1690"
409,Sir William Lockhart ,Earl of Leven ,"51.504444, -0.125556","55.948889, -3.190556","pay, muster rolls, Mackay, service","July 24, 1690"
410,Colonel Hill ,Lord Melville ,56.8262150285 -5.07526803226,"55.952499, -3.172500","supplies, soldiers, pay, ships","July 26, 1690"
411,"Attestation Mr. Gabriel Cunningham, Mr. Carstares, Mr. William Dunlop",Sir James Montgomery ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","conspiracy, honesty, indemnity","July 26, 1690"
412,Lord Melville ,Sir James Montgomery ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","indemnity, evidence, legal witness, London, Queen, secret","July 26, 1690"
413,Lord Melville ,Queen Mary ,"55.948889, -3.190556","51.504444, -0.125556","Skelmorlie, Ross, secret, service, Lockhart, K.James","July 29, 1690"
414,Lord Melville ,Queen Mary ,"55.948889, -3.190556","51.504444, -0.125556","Skelmorlie, plot, information, clemency, Mr. Jones, counterfeit","July 31, 1690"
415,Queen Mary ,Lord Ross ,"51.504444, -0.125556","55.948889, -3.190556","Lockhart, Ross, D'Allone, plot, Scotland, Carstares, evidence, private, Skelmorlie, Annandale, St. Germain, Ferguson, Cochran, Tower of London",July 1690
416,Judges of the Court of Session,King William ,"55.948889, -3.190556","51.504444, -0.125556","exemption, taxation, royal precedent, Christendom","August 2, 1690"
417,Lord Melville ,Queen Mary ,"55.952499, -3.172500","51.504444, -0.125556","Mary Modena, letters, secrecy, Ross, Skelmorlie, clemency, security, court","August 6, 1690"
418,Commissioners of Supply of Lanarkshire ,Lord Melville ,"55.67371, -3.7817","55.952499, -3.172500","supply, reports, service","August 12, 1690"
419,Sir William Lockhart ,Lord Melville ,"51.504444, -0.125556","55.952499, -3.172500","Ireland, enemies, Annandale, Skelmorlie, Queen, guilty, Ferguson, Ross, Galloway, Irish garrison, French","August 13, 1690"
420,Lord Melville ,Queen Mary ,"55.952499, -3.172500","51.504444, -0.125556","Queen, Lockhart, highlands, rebels, security, enemies, Skelmorlie, crimes, Ross, Hamilton, Annandale, King","August 16, 1690"
421,D. Carnegie of Pittarro ,Lord Melville ,"56.7, -2.45","55.948889, -3.190556","highland army, Cunningham, disaffected, ruined property, loyal","August 16, 1690"
422,Earl of Kintore,Lord Melville ,"56.592, -3.086","55.948889, -3.190556","highlanders, Mearrns, Dunnotter, Buchan, K. James Dunkel, servant","August 17, 1690"
423,Earl of Annandale ,Lord Melville ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","kindness, testimony","August 20, 1690"
424,Colonel Hill ,Earl of Leven ,"56.8262150285, -5.07526803226","55.948889, -3.190556","highland, Inverlochy, K. James, boats, landings, Glengarry, Mull, Lochiel, Irish, Mackay, Inverness, news","August 21, 1690"
425,Mr. Alexander Johnston ,Lord Melville ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","thanks, church government, posterity, servant","August 21, 1690"
426,Marquis of Atholl ,Lord Melville ,"56.65408, -3.62828","55.948889, -3.190556","health, servants, error","August 22, 1690"
427,Sir William Lockhart ,Lord Melville ,"51.504444, -0.125556","55.948889, -3.190556","Queensbury, guilty, Skelmorlie, Dalrymple, Melville, villains, Queen, favor, government, friendship, Limerick, Lanier, ships, Holland, Portsmouth, french coast","August 24, 1690"
428,Countess of Seaforth ,Lord Melville ,"57.11279, -2.80446","55.948889, -3.190556","Inverness, prisoner, banishment, Mackay","August 28, 1690"
429,Sir William Lockhart ,Lord Melville ,"51.504444, -0.125556","55.948889, -3.190556","Ferguson, Queen, K. James, plot, discovery, Club, Neville Payne, Shrewsbury, Scotland, indemnity, Hamilton, Melville, France, ships, forces, Ireland","August 30, 1690"
430,"Earl of Annandale's Conditions, From the Queen",-,"51.504444, -0.125556","51.50673486004276, -0.12083646321188168","Lockhart, Annandale, plot, treason, information",August 1690
431,Sir William Lockhart ,Queen Mary ,"51.504444, -0.125556","51.504444, -0.125556","scots parliament, Skelmorlie, annandale, ross, Ferguson, K. James, fleet prison, Neville Payne, Ireland, Scotland, cirrespondence, Arran, Jacobites, Breadalbane, highland rebels, Atholl","August 14, 1690"
432,Earl of Annandale ,-,"51.50673486004276, -0.12083646321188168",,"Neville Payne, Scotland, border, merchant, Annandale, Skelmorlie, Maxwell",August 1690
433,Sir William Lockhart ,Mr. James Melville ,"51.504444, -0.125556","51.50673486004276, -0.12083646321188168","Skelmorlie, Annandale, Queen, K. James, King, Advocate, Neville Payne",August 1690
434,Sir William Lockhart ,Lord Melville ,"51.504444, -0.125556","55.948889, -3.190556","Annandale, Queen, London, plot, Neville Payne, Ferguson, Ireland, Mackay, Scotland",August 1690
435,Sir William Lockhart ,Lord Melville ,"51.504444, -0.125556","55.948889, -3.190556","Ross, Skelmorlie, Nottingham, Queen, Ireland, King, Scotland, kingdom, K. James, Berwick, Neville Payne",August 1690
436,Sir William Lockhart ,Lord Melville ,"51.504444, -0.125556","55.948889, -3.190556","informer, Queen, Ferguson, K. James, parliament, service, Neville Payne",August 1690
437,Lord Melville ,,"55.948889, -3.190556","55.948889, -3.190556","Melville, Skelmorlie, plot, K. James, discovery, Queen",August 1690
438,Queries,Neville Payne,"55.948889, -3.190556",,"Skelmorlie, Scotland, K. James, Annandale, Ross, Ireland, France, Mr Simpson, fleet prison, Ferguson, Cochran, Portland, Holland, French invasion, Advocate, French King",August 1690
439,King William ,,52.25833 -7.11194,,"regiments, service, Colonel Hill","September 2, 1690"
440,Earl of Kintore,Lord Melville ,"55.948889, -3.190556","55.948889, -3.190556","son, council, King, mercy","September 2, 1690"
441,Queen Mary ,,"51.504444, -0.125556",,"Skelmorlie, Melville, enemies, K. James, Ireland, Scotland, French, Irish, France, Breadalbane, Balcarres, Nottingham, Malborough","September 6, 1690"
442,Earl of Drumlangrig ,Earl of Leven ,"56.116600, -3.936900","55.948889, -3.190556","health, Ramsay, news, Ireland, England, Edinburgh, Perth, letters","September 6, 1690"
443,Earl of Nottingham ,Lord Melville ,"51.504444, -0.125556","55.948889, -3.190556","vessels, Glasgow","September 6, 1690"
444,Sir William Lockhart ,Lord Melville and The Privy Council ,"51.504444, -0.125556","51.50673486004276, -0.12083646321188168","Queen, council, scotland, Nottingham, Pottinger, Waterford, government","September 7, 1690"
445,Sir William Lockhart ,Lord Melville ,"51.504444, -0.125556","51.50673486004276, -0.12083646321188168","Limerick, Portland, Ireland, Redding, Holland, Queen, England, bells","September 7, 1690"
446,Earl of Drumlangrig ,Lord Melville ,"56.116600, -3.936900","51.50673486004276, -0.12083646321188168","Stirling, intelligence, marching, season, rebels, Campsmore, Argyll, council, Montieth","September 10, 1690"
447,Earl of Bredalbane ,Lord Melville ,"56.402165058, -5.023999904","51.50673486004276, -0.12083646321188168","council, highlanders, achallader, edinburgh","September 17, 1690"
448,The Privy Council of Scotland ,King William ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Ireland, success, religion, Christendom, peace, Melville, Leven","September 18, 1690"
449,Colonel Hill ,Earl of Leven ,"56.8262150285, -5.07526803226","51.50673486004276, -0.12083646321188168","Buchanan, garrison, ships, company, treasury","September 27, 1690"
450,Earl of Portland ,Lord Melville ,"52.234167, 5.945833","51.50673486004276, -0.12083646321188168","Scotland, parliament","September 29, 1690"
451,The Presbyterian Ministers in Edinburgh,King William ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","King, Ireland, evil-minded men, Christian, Scotland, Melville, peace, favor","October 2, 1690"
452,The Presbyterian Ministers in Edinburgh,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","administration, Church, honor, enemies, government","October 2, 1690"
453,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","highland, rebels, arms, Kintore, Ireland","October 2, 1690"
454,Colonel Hill ,Lord Melville ,"56.8262150285, -5.07526803226","51.50673486004276, -0.12083646321188168","Buchan, Canon, Weems, regiment, highlands, Ireland, staffing, K. James, France, England, Belfast, popish","October 2, 1690"
455,The Town Council of Edinburgh ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Edinburgh, oath of allegiance, parliament","October 2, 1690"
456,Lord Ross ,Lord Melville ,"51.508530, -0.076132","51.50673486004276, -0.12083646321188168","friendship, kindness, grateful","October 8, 1690"
457,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","council, presbyterian, highland, coast, frigates, Dunkirk","October 9, 1690"
458,Lord Melville ,Earl of Crawford ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","General Assembly, King, clergy, Universities, Bishop","October 10, 1690"
459,Lord Melville ,Lord Carmichaell,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","General Assembly, Church, service","October 10, 1690"
460,Lord Melville ,Mr. Hugh Kennedy ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","General Assembly, church, God, Prince","October 10, 1690"
461,Lord Melville ,Mr. James Kirkton ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","General Assembly, public interest","October 10, 1690"
462,Lord Melville ,Dr. Gilbert Rule ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","religion, King, General Assembly, enemies","October 10, 1690"
463,Lord Melville ,Mr. Fraser of Brae ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","General Assembly, session, safety","October 10, 1690"
464,Lord Melville ,Mr. David Williamson ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","Protestant interest, General Assembly, presbytery, parliament, England, King","October 10, 1690"
465,Sir William Lockhart ,Lord Melville ,"51.504444, -0.125556","51.50673486004276, -0.12083646321188168","King, Melville, Scotland, Hampton Court, Hamilton, Kensington","October 13,1690"
466,Sir James Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","General Assembly, Carmichael, mministers, government","October 13, 1690"
467,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","General Assembly, King, ministers, court, elder","October 14, 1690"
468,The Privy Council ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","rebels, highlands, Argyll, isles, Mackay","October 16, 1690"
469,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","General Assembly, session, Carmichael, King","October 17, 1690"
470,Lord Carmichaell ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Crawford, King, General Assembly","October 17, 1690"
471,The Earl of Kintore ,King William ,"55.948889, -3.190556",,"King, enemies, son, mercy","October 18, 1690"
472,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","General Assembly, protestant, religion, service, Kirkton","October 18, 1690"
473,Lord Carmichaell ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","General Assembly, King","October 18, 1690"
474,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Mackay, clans, submission, Colonel Hill, Ireland","October 21, 1690"
475,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Colonel Hill, security, highland, highlanders, peace","October 22, 1690"
476,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","General Assembly, information, parliament","October 22, 1690"
477,Lord Carmichaell ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","General Assembly, King's business","October 22, 1690"
478,Lord Melville ,Mr. Gabriel Cuningham ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","religion, King, christian, kingdoms, Carstares","October 24, 1690"
479,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","fleet, Holland, Leith Road, Bellenden Buchan, parliament, danger, trouble","October 28, 1690"
480,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Bellenden, vessel, Holland, enemies, family","October 28, 1690"
481,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","court, enemies, angry, ecclesiastics, highland war, presbyterian, war, Scotland, England","October 30, 1690"
482,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","letters, Bellenden, murder, family","October 30, 1690"
483,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Carstares, nation, guilty, abroad, England, stories, Glasgow, Dumfries, Dumfries, bishoprics, King, Mackay, libel, council, government ","November 1, 1690"
484,Lord Cardross ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","General Assembly, enemies, King, university, Glasgow, St. Andrews, Mackay, London","November 1, 1690"
485,Lord Carmichaell ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","General Assembly, piety, King, judgement","November 1, 1690"
486,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","King, kingdom, Colonel Hill, highlands, Argyll, Inverlochy, Mackay, highlanders, Forbes, soldiers, trouble, Mull","November 1, 1690"
487,Lord Carmichaell ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","General Assembly, proceedings","November 6, 1690"
488,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Lady Mary MacDonald, starving, condition, friends, King, Queen, Skye","November 6, 1690"
489,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Colonel Hill, highlands, garrison, General Assembly, Seaforth","November 8, 1690"
490,The General Assembly ,King William ,"55.948889, -3.190556",,"church of scotland, General Assembly, gospel, peace, kingdom, highlands, popery, God, government, King, Queen","November 12, 1690"
491,Lord Carmichaell ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","General Assembly, Edinburgh, committee, King, presbyterian, government, Carstares","November 14, 1690"
492,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","reform, church, regiment, government, God","November 14, 1690"
493,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","General Assembly, presbyterian, King, Lady Mary MacDonald","November 15, 1690"
494,Lord Carmichaell ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Carstares, account, service, moderator","November 15, 1690"
495,Lord Cardross ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Carstares, presbyterians, enemies, Mackay, Stirling Castle, King, army, treasury","November 15, 1690"
496,Earl of Crawford,Lord Melville  ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Morton, Orkney, Zetland, Advocate, Captain Bruce, Edinburgh, Claim of Right","November 18, 1690"
497,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","colleges, judges, principals, university","November 20, 1690"
498,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","letters, Bruce, Berwick, Edinburgh, Claim of right, Glasgow, Inverlochy, Colonel Hill","November 22, 1690"
499,Earl of Argyll,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","post, London, Morton","November 25, 1690"
500,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Argyll, Isles, Highlands, Colonel Hill","November 15, 1690"
501,The Privy Council ,King William ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Captain Bruce, Edinburgh","December 2, 1690"
502,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Archibald Sinclair, Bargeny, parliament","December 4, 1690"
503,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","church, family, bishoprics, Carstares, King, rents, Thomas Livingston","December 4, 1690"
504,Duchess of Queensberry ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","miserable, parent, favor","December 4, 1690"
505,Earl of Nottingham ,-,"51.504444, -0.125556",,"Neville Payne, information, K. James, London, Scotland","December 6, 1690"
506,Earl of Annandale ,-,"51.50673486004276, -0.12083646321188168",,"Annandale, papers, K. James, Edinburgh Castle, Melville","December 6, 1690"
507,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Neville Payne, torture, evidence, religion, stomach, Holland, God","December 11, 1690"
508,Sir Thomas Livingston ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","King, regiment, Inverlochy, Colonel Hill, provisions, garrison, security","December 16, 1690"
509,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Colonel Hill, Lochiel, clans, King, highlanders, Inverlochy, France, war, climate, Seaforth, prison, church, presbytery, troops","December 18, 1690"
510,Duchess of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","son, health, bail","December 19, 1690"
511,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","highlands, Colonel Hill, indemnity, enemies, war, Scotland","December 19, 1690"
512,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","secrecy, money, missing, Perth","December 23, 1690"
513,Earl of Cassillis ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","treasury, Stirling, Mar, difficulty","December 27, 1690"
514,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","King, service, abroad, comissions","December 30, 1690"
