ID,SENDER,RECEIVER,FROM,LAT_LON_1,TO,LAT_LON_2,KEYWORDS 1,KEYWORDS 2,KEYWORDS 3,KEYWORDS 4,KEYWORDS 5,KEYWORDS 6,DATE,TYPE
290,Mr. Gilbert Eliot,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",dragoons,rebels,Menteith,,,,1/4/1690,"Letter"
291,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Hamilton,Tweeddale,Club,highland clans,Edinburgh,regiments,1/4/1690,"Letter"
292,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",King,favor,parliament,,,,1/7/1690,"Letter"
293,Sir Patrick Hume of Polwarth,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",commissions,presentations,,,,,1/7/1690,"Memorandum"
294,Sir William Lockhart,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",favor,malversations,Presbyterians,Hamilton,,,1/9/1690,"Letter"
295,The Privy Council,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Mackay,Portland,King,firearms,ammunition,,1/10/1690,"Letter"
296,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Club,Inverlochy,rebels,Ireland,highlands,presbyterians,1/10/1690,"Letter"
297,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",council,divisions,prisoner,highlands,,,1/11/1690,"Letter"
298,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Club,Portland,England,church,presbyterians,Hamilton,1/14/1690,"Letter"
299,The Privy Council,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Captain Kennedy,Ireland,Glasgow,Schomberg,supplies,,1/16/1690,"Letter"
300,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Club,prebyterians,Ireland,Inverlochy,Balcarres,K. James,1/16/1690,"Letter"
301,Sir James Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Tarbat,session,Club,service,ministers,jacobites,1/17/1690,"Letter"
302,Earl of Argyll,King William,Edinburgh,"55.948889, -3.190556",Kensington Court,"51.504997, -0.187752",Gordon,Arburchell,estate,,,,1/20/1690,"Letter"
303,Earl of Argyll,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",arburchell,Gordon,friendship,,,,1/20/1690,"Letter"
304,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",patronage,parliament,,,,,1/20/1690,"Letter"
305,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",episcopal ministers,judges,government,church,Scotland,Irish prisoners,1/21/1690,"Letter"
306,Sir James Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",friendship,libel,King,Aberuchell,,,1/21/1690,"Letter"
307,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",service,friendship,Ayr,ministers,council,Hamilton,1/21/1690,"Letter"
308,Lord Melville,Earl of Crawford,London,"51.50673486004276, -0.12083646321188168",Edinburgh,"55.948889, -3.190556",arms,ammunition,Holland,France,difficulties,King,1/22/1690,"Letter"
309,Marquis of Lothian,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",duties,troop of guards,service,,,,1/23/1690,"Letter"
310,Lord Carmichael,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",interest,service,King,,,,1/24/1690,"Letter"
311,Sir William Lockhart,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",printer,prison,Crawford,parliament,Club,,1/25/1690,"Letter"
312,Sir William Lockhart,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Scotland,trouble,printer,Club,Hamilton,Crawford,1/25/1690,"Letter"
313,Earl of Cassillis,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",treasury,revenue,Holyrood House,printer,prison,,1/28/1690,"Letter"
314,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Scotland,King,visit,Christ,Prince,Israel,1/28/1690,"Letter"
315,Sir James Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",King,Sumptary Act,Ayr,Club,English,,1/30/1690,"Letter"
316,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Club,Hamilton,Jacobites,Presbyterians,commission,,1/31/1690,"Letter"
317,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Jacobites,King,Scotland,presbyterian,church,nonconformists,2/4/1690,"Letter"
318,Sir William Lockhart,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",coronation,ireland,Club,Hamilton,parliament,,2/4/1690,"Letter"
319,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",King,Cameronians,Ayr,government,Jacobites,sumptary,2/4/1690,"Letter"
320,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Ireland,Buchan,King,Club,Jacobites,,2/7/1690,"Letter"
321,The Privy Council,King William,Edinburgh,"55.948889, -3.190556",Kensington Court,"51.504997, -0.187752",King,Scotland,troops,kingdom,,,2/8/1690,"Letter"
322,The Privy Council,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Skelmorlie,Belfast,intelligence,frigates,Ireland,parliament,2/8/1690,"Letter"
323,Duke of Shrewsberry,Lord Melville,Whitehall,"51.504444, -0.125556",London,"51.50673486004276, -0.12083646321188168",Peter Frazer,Scotland,character,observe,,,2/8/1690,"Letter"
324,The Privy Council,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",seamen,service,fleet,treasury,,,2/8/1690,"Letter"
325,Sir William Lockhart,Mr. James Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",King,Hamilton,council,,,,2/8/1690,"Letter"
326,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Annandale,Club,Hamilton,,,,2/8/1690,"Letter"
327,Earl of Lothian,King William,Edinburgh,"55.948889, -3.190556",Kensington Court,"51.504997, -0.187752",troop of guards,royal bounty,,,,,2/11/1690,"Letter"
328,Earl of Lothian,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",scots guards,service,King,,,,2/11/1690,"Letter"
329,Earl of Argyll,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Arburchell,King,Leven,money,,,2/11/1690,"Letter"
330,Sir Patrick Hume of Polwarth and Duncan Forbes,King William,Edinburgh,"55.948889, -3.190556",Kensington Court,"51.504997, -0.187752",dissatification,parliament,Jacobites,"""dark clouds""",,,2/11/1690,"Letter"
331,Sir Patrick Hume of Polwarth and Duncan Forbes,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",health,progress,King's service,,,,2/11/1690,"Letter"
332,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",council,King,parliament,,,,2/13/1690,"Letter"
333,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Hamilton,council,parliament,,,,2/15/1690,"Letter"
334,Sir Patrick Hume of Polwarth and Duncan Forbes,King William,Edinburgh,"55.948889, -3.190556",Kensington Court,"51.504997, -0.187752",security,divisions,parliament,session,,,2/15/1690,"Letter"
335,Sir Patrick Hume of Polwarth and Duncan Forbes,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",divisions,Scotland,King's service,danger,,,2/15/1690,"Letter"
336,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Strachan,Ireland,K. James,Erroll,French fleet,Schomberg,2/18/1690,"Letter"
337,Earl of Argyll,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",K. James,Strachan,papist,Dublin,Greenock,letters,2/20/1690,"Letter"
338,The Privy Council,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Strachan,Erroll,letters,Seaforth,Ireland,French fleet,2/20/1690,"Letter Packet"
339,Earl of Crawford,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",prisoner,presbyterian,episcopal,western shires,,,2/20/1690,"Letter"
340,Sir John Dalrymple,Lord Melville,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",Scotland,K. James,Ireland,,,,2/20/1690,"Letter"
341,King William,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",elections,Presbyterian ministers,Church,supply,rebels,oath de fideli,2/25/1690,"Private Instructions"
342,Burrough of Belfast,Colonel Hill,Belfast,"54.607868, -5.926437",Dublin,"53.33306, -6.24889",Belfast,Colonel Hill,Irish,King William,,,2/28/1690,"Cerificate and Recommendation"
343,King William,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",secret council,security,government,mackay,forces,,2/28/1690,"Private Instructions"
344,King William,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",security,mackay,grievances,intelligence,presbyterians,,2/1/1690,"Instructions"
345,Lord Melville,King William,Edinburgh,"55.948889, -3.190556",Kensington Court,"51.504997, -0.187752",Hamilton,service,Breadalbane,Berwick,Carlisle,borders,3/18/1690,"Letter"
346,King William,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",service,commissioner,parliament,Scotland,,,3/20/1690,"Letter"
347,King William,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",Breadalbane,rebels,parliament,Scotland,frigates,,3/20/1690,"Letter"
348,King William,The Privy Council,Kensington Court,"51.504997, -0.187752",Edinburgh,"55.948889, -3.190556",council,kingdom,deserters,garrisons,,,3/20/1690,"Letter"
349,King William,Viscount Tarbat,Whitehall,"51.504444, -0.125556",Edinburgh,"55.948889, -3.190556",highlanders,Scotland,duty,entreat,,,3/25/1690,"Warrant"
350,King William,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",parliament,instructions,,,,,4/9/1690,"Letter"
351,Earl of Portland,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",letters,parliament,Carstares,information,,,4/11/1690,"Letter"
352,Marshal Schonberg,Earl of Leven,Lisburn,"54.52337, -6.03527",Edinburgh,"55.948889, -3.190556",Captain Kennedy,Melville,Scotland,,,,4/12/1690,"Letter"
353,King William,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",imprisoned,apprehend,disaffected,,,,4/15/1690,"Order"
354,Colonel Hill,Earl of Leven,Dublin,"53.33306, -6.24889",Edinburgh,"55.948889, -3.190556",highlands,K. James,Ireland,French ships,highlanders,coast,4/17/1690,"Letter"
355,Earl of Ranelagh,Lord Melville,London,"51.50673486004276, -0.12083646321188168",Holyrood House,"55.952499, -3.172500",service,regiment,Ireland,scots guards,,,4/19/1690,"Letter"
356,Earl of Portland,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",Carstares,presbyterians,Club,Ireland,France,letters,4/22/1690,"Letter"
357,Lord Melville,Earl of Breadalbane,Holyrood House,"55.952499, -3.172500",Breadalbane,"56.34, -4.274",Breadalbane,highlanders,submission,security,,,4/24/1690,"Order"
358,Sir William Lockhart,Master of Melville,London,"51.504444, -0.125556",Edinburgh,"55.948889, -3.190556",presbytery,King,parliament,scrizimor,,,4/29/1690,"Letter"
359,King William,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",committees,elections,parliament,,,,4/1/1690,"Letter"
360,King William,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",Crawford,security,religion,knighthood,,,4/1/1690,"Additional Instructions"
361,Mr. David Nairne,Earl of Leven,Edinburgh,"55.948889, -3.190556",Edinburgh,"55.948889, -3.190556",Drumlanrig,public affairs,King,treasurer depute,Raith,,5/1/1690,"Letter"
362,King William,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",Breadalbane,Melville,Pottinger,ships,forces,,5/2/1690,"Approbation"
363,King William,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",officers,soldiers,government,army,,,5/7/1690,"Letter"
364,King William,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",service,crimes,treason,Prince,remission,,5/14/1690,"Letter"
365,Earl of Portland,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",King,Carstares,presbyterians,Inverlochy,Mackay,,5/15/1690,"Letter"
366,King William,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",church,presbytery,popery,reformation,protestant religion,,5/22/1690,"Remarks on the Church"
367,King William,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",public oath,fines,capital crimes,civil debt,Edinburgh,trade,5/30/1690,"Additional Instructions"
368,King William,Lord Melville,Kensington Court,"51.504997, -0.187752",Holyrood House,"55.952499, -3.172500",indemnity,,,,,,6/3/1690,"Instructions"
369,Viscount Tarbat,Lord Melville,Edinburgh,"55.948889, -3.190556",Holyrood House,"55.952499, -3.172500",Raith,,,,,,6/3/1690,"Letter"
370,The Privy Council,King William,Edinburgh,"55.948889, -3.190556",Kensington Court,"51.504997, -0.187752",Holyrood House,Haddington,rent,,,,6/5/1690,"Letter"
371,King William,Lord Melville,Hoylake,"53.39046, -3.18066",Holyrood House,"55.952499, -3.172500",Mackay,correspondence,Lockhart,Scotland,Ireland,Carstares,6/9/1690,"Letter"
372,Earl of Portland,Lord Melville,Hoylake,"53.39046, -3.18066",Holyrood House,"55.952499, -3.172500",Carstares,Inverlochy,Mackay,borders,friendship,security,6/9/1690,"Letter"
373,Earl of Nottingham,Lord Melville,Whitehall,"51.504444, -0.125556",Holyrood House,"55.952499, -3.172500",highlake,Ireland,Scotland,Queen,,,6/13/1690,"Letter"
374,Mr. David Nairne,Lord Melville,Edinburgh,"55.948889, -3.190556",Holyrood House,"55.952499, -3.172500",Ferguson,imprisonment,Leven,Gibson,,,6/14/1690,"Letter"
375,Mr. David Nairne,Earl of Leven,Edinburgh,"55.948889, -3.190556",Edinburgh,"55.948889, -3.190556",Drumlanrig,Abbey,Raith,gazettes,,,6/19/1690,"Letter"
376,Marquis of Atholl,Major-General Mackay,Glenalmond,"56.37268, -3.83891",Edinburgh,"55.948889, -3.190556",enemies,health,kingdom,,,,6/19/1690,"Letter"
377,Marquis of Atholl,Lord Melville,Glenalmond,"56.37268, -3.83891",Edinburgh,"55.948889, -3.190556",health,King,government,,,,6/19/1690,"Letter"
378,Earl of Nottingham,Lord Melville,Whitehall,"51.504444, -0.125556",Holyrood House,"55.952499, -3.172500",Lockhart,Scotland,Cochran,Ferguson,discharged,,6/21/1690,"Letter"
379,Lord Ross,Mr. George Stirling,Inch,"54.95, -4.95",Edinburgh,"55.948889, -3.190556",enemies,prisoner,health,kindness,,,6/23/1690,"Letter"
380,Lord Ross,Lord Melville,Inch,"54.95, -4.95",Edinburgh,"55.948889, -3.190556",Edinburgh,plots,parliament,imprisoned,England,,6/23/1690,"Letter"
381,Lord Melville,Queen Mary,Edinburgh,"55.948889, -3.190556",Whitehall,"51.504444, -0.125556",plot,protestant religion,information,enemies,,,6/23/1690,"Letter"
382,Mr. William Carstares,-,Edinburgh,"55.948889, -3.190556",-,,court,service,conspiracy,church government,,,6/23/1690,"Letter"
383,Lord Melville,Queen Mary,Edinburgh,"55.948889, -3.190556",Whitehall,"51.504444, -0.125556",Ireland,Lockhart,Ross,service,Monsier D'Allone,,6/24/1690,"Letter"
384,Earl of Nottingham,Lord Melville,Whitehall,"51.504444, -0.125556",Holyrood House,"55.952499, -3.172500",French fleet,coast,Torrington,Ferguson,Cochran,treason,6/26/1690,"Letter"
385,Colonel Billingsley,Lord Melville,Berwick,55.78333 -2.0,Holyrood House,"55.952499, -3.172500",news,Ross,Hume,battalion,disaffected,,6/27/1690,"Letter"
386,Master of Forbes,Lord Melville,Aberdeen,"57.149651, -2.099075",Holyrood House,"55.952499, -3.172500",presbytery,Inverlochy,garrisons,security,highlands,prisoners,6/27/1690,"Letter"
387,Queen Mary,-,Whitehall,"51.504444, -0.125556",-,,K. James,Skelmorlie,Edinburgh,presbyterians,Carstares,French,6/1/1690,"Articles of Examination"
388,Lord Melville,Queen Mary,Edinburgh,"55.948889, -3.190556",Whitehall,"51.504444, -0.125556",plot,evidence,Lockhart,Ireland,King,service,6/1/1690,"Letter"
389,Lord Melville,Queen Mary,Edinburgh,"55.948889, -3.190556",Whitehall,"51.504444, -0.125556",plot,protestant religion,information,enemies,,,6/1/1690,"Letter"
390,Lord Melville,Queen Mary,Edinburgh,"55.948889, -3.190556",Whitehall,"51.504444, -0.125556",Lockhart,Ross,French fleet,intelligence,Skelmorlie,evidence,7/2/1690,"Letter"
391,Sir William Lockhart,Lord Melville,London,"51.504444, -0.125556",Holyrood House,"55.952499, -3.172500",Flanders,French,Waldeck,London,Westminster,Ireland,7/3/1690,"Letter"
392,Colonel Billingsley,Lord Melville,Berwick,"55.78333, -2.0",Holyrood House,"55.952499, -3.172500",mail,moncreiff,service,,,,7/3/1690,"Letter"
393,Queen Mary,Lord Melville,Whitehall,"51.504444, -0.125556",Holyrood House,"55.952499, -3.172500",Lockhart,dangers,King,,,,7/3/1690,"Letter"
394,Earl of Portland,Lord Melville,Ballyhara,"52.91044, -6.11488",Holyrood House,"55.952499, -3.172500",King,Protestant,Dublin,K. James,Carstares,Boyne,7/4/1690,"Letter"
395,Earl of Nottingham,Lord Melville,Whitehall,"51.504444, -0.125556",Holyrood House,"55.952499, -3.172500",french fleet,channel,mail,,,,7/5/1690,"Letter"
396,Lord Melville,King William,Edinburgh,"55.948889, -3.190556",Ballyhara,"52.91044, -6.11488",Inverlochy,Lochiel,coast,French,Breadalbane,Ireland,7/6/1690,"Letter"
397,Mr. William Carstares,Monsieur D'Allone ?,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",highlands,borders,Torrington,Ireland,Boyne,Schomberg,7/9/1690,"Letter"
398,Lord Melville,Monsieur D'Allone,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",Lockhart,Nottingham,intelligence,highlands,Jacobites,England,7/10/1690,"Letter"
399,Colonel Hill,Lord Melville,Inverlochie,"56.8262150285, -5.07526803226",Holyrood House,"55.952499, -3.172500",Raith,provisions,garrison,army,weather,highlands,7/10/1690,"Letter"
400,Earl of Nottingham,Lord Melville,Whitehall,"51.504444, -0.125556",Holyrood House,"55.952499, -3.172500",borders,maxwell,Scotland,,,,7/12/1690,"Letter"
401,Mr. William Carstares,Monsieur D'Allone,Edinburgh,"55.948889, -3.190556",London,"51.50673486004276, -0.12083646321188168",highlanders,Canon,Stirling,Arran,Lockhart,Ross,7/13/1690,"Letter"
403,Earl of Nottingham,Lord Melville,Whitehall,"51.504444, -0.125556",Holyrood House,"55.952499, -3.172500",disaffected,borders,Scotland,Berwick,Carlisle,,7/15/1690,"Letter"
403,Captain Pottinger,Lord Melville,"Duart Road, Dartmouth","50.3522, -3.5794",Holyrood House,"55.952499, -3.172500",Greenock,blockade,coast,Seaforth,highlanders,Inverlochy,7/19/1690,"Letter"
404,Colonel Billingsley,Lord Melville,Berwick,"55.78333, -2.0",Holyrood House,"55.952499, -3.172500",flying packets,black box,Home,borders,militia,Scotland,7/19/1690,"Letter"
405,Captain Pottinger,Major-General Mackay,"Duart Road, Dartmouth","50.3522, -3.5794",Dunkel,,Hill,Dunstaffnage,seamen,Greenock,Douglas,frigate,7/21/1690,"Letter"
406,Colonel Billingsley,Lord Melville,Berwick,"55.78333, -2.0",Holyrood House,"55.952499, -3.172500",express,mistake,postmaster,delay,,,7/21/1690,"Letter"
407,Earl of Portland,Lord Melville,Carrick,"50.264, -5.054",Edinburgh,"55.948889, -3.190556",invasion,Dublin,Mackay,Inverlochy,garrisons,Ireland,7/23/1690,"Letter"
408,Lord Melville,Queen Mary,Edinburgh,"55.948889, -3.190556",Whitehall,"51.504444, -0.125556",Lockhart,Highlanders,mail,Ross,Skelmorlie,plot,7/24/1690,"Letter"
409,Sir William Lockhart,Earl of Leven,London,"51.504444, -0.125556",Edinburgh,"55.948889, -3.190556",pay,muster rolls,Mackay,service,,,7/24/1690,"Letter"
410,Colonel Hill,Lord Melville,Inverlochie,56.8262150285 -5.07526803226,Holyrood House,"55.952499, -3.172500",supplies,soldiers,pay,ships,,,7/26/1690,"Letter"
411,"Attestation Mr. Gabriel Cunningham, Mr. Carstares, Mr. William Dunlop",Sir James Montgomery,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",conspiracy,honesty,indemnity,,,,7/26/1690,"Attestation"
412,Lord Melville,Sir James Montgomery,Holyrood House,"55.952499, -3.172500",London,"51.50673486004276, -0.12083646321188168",indemnity,evidence,legal witness,London,Queen,secret,7/26/1690,"Letter"
413,Lord Melville,Queen Mary,Edinburgh,"55.948889, -3.190556",Whitehall,"51.504444, -0.125556",Skelmorlie,Ross,secret,service,Lockhart,K.James,7/29/1690,"Letter"
414,Lord Melville,Queen Mary,Edinburgh,"55.948889, -3.190556",Whitehall,"51.504444, -0.125556",Skelmorlie,plot,information,clemency,Mr. Jones,counterfeit,7/31/1690,"Letter"
415,Queen Mary,Lord Ross,Whitehall,"51.504444, -0.125556",Edinburgh,"55.948889, -3.190556",Ross,plot,Carstares,evidence,Skelmorlie,St. Germain,7/1/1690,"Narrative"
416,Judges of the Court of Session,King William,Edinburgh,"55.948889, -3.190556",Whitehall,"51.504444, -0.125556",exemption,taxation,royal precedent,Christendom,,,8/2/1690,"Letter"
417,Lord Melville,Queen Mary,Holyrood House,"55.952499, -3.172500",Whitehall,"51.504444, -0.125556",Mary Modena,letters,secrecy,Ross,Skelmorlie,security,8/6/1690,"Letter"
418,Commissioners of Supply of Lanarkshire,Lord Melville,Lanark,"55.67371, -3.7817",Holyrood House,"55.952499, -3.172500",supply,reports,service,,,,8/12/1690,"Letter"
419,Sir William Lockhart,Lord Melville,London,"51.504444, -0.125556",Holyrood House,"55.952499, -3.172500",Ireland,enemies,Annandale,Skelmorlie,Irish,French,8/13/1690,"Letter"
420,Lord Melville,Queen Mary,Holyrood House,"55.952499, -3.172500",Whitehall,"51.504444, -0.125556",highlands,rebels,security,Skelmorlie,Ross,Annandale,8/16/1690,"Letter"
421,D. Carnegie of Pittarro,Lord Melville,Montrose,"56.7, -2.45",Edinburgh,"55.948889, -3.190556",highland army,Cunningham,disaffected,ruined property,loyal,,8/16/1690,"Letter"
422,Earl of Kintore,Lord Melville,Eastsein,"56.592, -3.086",Edinburgh,"55.948889, -3.190556",highlanders,Dunnotter,Buchan,K. James,servant,,8/17/1690,"Letter"
423,Earl of Annandale,Lord Melville,London,"51.50673486004276, -0.12083646321188168",Edinburgh,"55.948889, -3.190556",trouble,kindness,testimony,,,,8/20/1690,"Letter"
424,Colonel Hill,Earl of Leven,Inverlochie,"56.8262150285, -5.07526803226",Edinburgh,"55.948889, -3.190556",Inverlochy,K. James,landings,Mull,Lochiel,Irish,8/21/1690,"Letter"
425,Mr. Alexander Johnston,Lord Melville,London,"51.50673486004276, -0.12083646321188168",Edinburgh,"55.948889, -3.190556",thanks,church government,posterity,servant,,,8/21/1690,"Letter"
426,Marquis of Atholl,Lord Melville,Tullimett,"56.65408, -3.62828",Edinburgh,"55.948889, -3.190556",health,servants,error,,,,8/22/1690,"Letter"
427,Sir William Lockhart,Lord Melville,London,"51.504444, -0.125556",Edinburgh,"55.948889, -3.190556",Skelmorlie,Limerick,ships,Portsmouth,French coast,,8/24/1690,"Letter"
428,Countess of Seaforth,Lord Melville,Coull,"57.11279, -2.80446",Edinburgh,"55.948889, -3.190556",Inverness,prisoner,banishment,Mackay,,,8/28/1690,"Letter"
429,Sir William Lockhart,Lord Melville,London,"51.504444, -0.125556",Edinburgh,"55.948889, -3.190556",K. James,plot,Club,Neville Payne,France,Ireland,8/30/1690,"Letter"
430,"Earl of Annandale's Conditions, From the Queen",-,Whitehall,"51.504444, -0.125556",London,"51.50673486004276, -0.12083646321188168",Lockhart,Annandale,plot,treason,information,,8/1/1690,"Conditions from the Queen"
431,Sir William Lockhart,Queen Mary,London,"51.504444, -0.125556",Whitehall,"51.504444, -0.125556",K. James,prison,Neville Payne,Ireland,Jacobites,rebels,8/14/1690,"Account"
432,Earl of Annandale,-,London,"51.50673486004276, -0.12083646321188168",-,,Neville Payne,Scotland,border,Annandale,Skelmorlie,,8/1/1690,"Account"
433,Sir William Lockhart,Mr. James Melville,London,"51.504444, -0.125556",London,"51.50673486004276, -0.12083646321188168",Skelmorlie,Annandale,K. James,Neville Payne,,,8/1/1690,"Letter"
434,Sir William Lockhart,Lord Melville,London,"51.504444, -0.125556",Edinburgh,"55.948889, -3.190556",Annandale,plot,Neville Payne,Ireland,Mackay,Scotland,8/1/1690,"Letter"
435,Sir William Lockhart,Lord Melville,London,"51.504444, -0.125556",Edinburgh,"55.948889, -3.190556",Ross,Skelmorlie,K. James,Berwick,Neville Payne,,8/1/1690,"Letter"
436,Sir William Lockhart,Lord Melville,London,"51.504444, -0.125556",Edinburgh,"55.948889, -3.190556",informer,K. James,parliament,service,Neville Payne,,8/1/1690,"Letter"
437,Lord Melville,,Edinburgh,"55.948889, -3.190556",Edinburgh,"55.948889, -3.190556",Melville,Skelmorlie,plot,K. James,discovery,,8/1/1690,"Declaration"
438,Queries,Neville Payne,Edinburgh,"55.948889, -3.190556",-,,Skelmorlie,Scotland,K. James,Annandale,Ross,invasion,8/1/1690,"Queries"
439,King William,,Waterford,52.25833 -7.11194,-,,regiments,service,Colonel Hill,,,,9/2/1690,"Order"
440,Earl of Kintore,Lord Melville,Edinburgh,"55.948889, -3.190556",Edinburgh,"55.948889, -3.190556",son,council,King,mercy,,,9/2/1690,"Letter"
441,Queen Mary,,Whitehall,"51.504444, -0.125556",-,,Skelmorlie,K. James,Ireland,Scotland,French,Irish,9/6/1690,"Narrative"
442,Earl of Drumlangrig,Earl of Leven,Stirling,"56.116600, -3.936900",Edinburgh,"55.948889, -3.190556",health,Ramsay,news,Ireland,Edinburgh,Perth,9/6/1690,"Letter"
